dataset	method	epsilon	time
cell187_500	PSI	10	0.2007810216666667
cell187_500	PSI	12	0.28064129866666677
cell187_500	PSI	14	0.31474943466666677
cell187_500	PSI	16	0.42317555766666665
cell187_500	PSI	18	0.5968247119999995
cell187_500	PSI	20	0.7530956056666663
cell187_500	CMBC	10	0.1945862364874598
cell187_500	CMBC	12	0.2964129866666677
cell187_500	CMBC	14	0.35474943466666677
cell187_500	CMBC	16	0.50317555766666665
cell187_500	CMBC	18	0.6968247119999995
cell187_500	CMBC	20	0.9830956056666663
cell187_1K	PSI	10	0.44817059239999996
cell187_1K	PSI	12	0.6109537716
cell187_1K	PSI	14	0.8369659206
cell187_1K	PSI	16	0.9837411506
cell187_1K	PSI	18	1.9209496568
cell187_1K	PSI	20	2.2604467967999997
cell187_1K	CMBC	10	0.4898437287999998
cell187_1K	CMBC	12	0.5799166811999997
cell187_1K	CMBC	14	0.697600451
cell187_1K	CMBC	16	0.9013063152000006
cell187_1K	CMBC	18	1.3592986755999998
cell187_1K	CMBC	20	1.5450244892000007
cell187_2K	PSI	10	0.46051272976000002
cell187_2K	PSI	12	0.5638528705999997
cell187_2K	PSI	14	0.692586388666208
cell187_2K	PSI	16	0.832719342000006
cell187_2K	PSI	18	1.049243727999994
cell187_2K	PSI	20	1.4255162062000002
cell187_2K	CMBC	10	0.44842208240000003
cell187_2K	CMBC	12	0.588770375
cell187_2K	CMBC	14	0.7314672698000001
cell187_2K	CMBC	16	0.8736118402
cell187_2K	CMBC	18	1.1142895534
cell187_2K	CMBC	20	1.5591990544
cell187_4K	PSI	10	2.4569015888
cell187_4K	PSI	12	4.387899759400001
cell187_4K	PSI	14	6.7170692034
cell187_4K	PSI	16	8.1419616126
cell187_4K	PSI	18	12.1178735868
cell187_4K	PSI	20	17.3834226002
cell187_4K	CMBC	10	2.4350772212
cell187_4K	CMBC	12	3.5693275816000005
cell187_4K	CMBC	14	5.4927221758000035
cell187_4K	CMBC	16	6.835655449799999
cell187_4K	CMBC	18	9.235508351599998
cell187_4K	CMBC	20	13.391279017400002
cell187_6K	PSI	10	9.9753911102
cell187_6K	PSI	12	14.001671892000001
cell187_6K	PSI	14	20.7574300116
cell187_6K	PSI	16	27.639395961199998
cell187_6K	PSI	18	37.8510314804
cell187_6K	PSI	20	58.1180777022
cell187_6K	CMBC	10	8.7868584056
cell187_6K	CMBC	12	12.464894922199996
cell187_6K	CMBC	14	18.145856555799995
cell187_6K	CMBC	16	22.905058188000005
cell187_6K	CMBC	18	29.2024761166
cell187_6K	CMBC	20	43.979221665000004
cell187_8K	PSI	10	23.1752115374
cell187_8K	PSI	12	37.1511839644
cell187_8K	PSI	14	53.397434809
cell187_8K	PSI	16	79.9666563774
cell187_8K	PSI	18	113.1229388802
cell187_8K	PSI	20	177.26972856220002
cell187_8K	CMBC	10	22.1821875146
cell187_8K	CMBC	12	33.479170783799994
cell187_8K	CMBC	14	45.26089614879999
cell187_8K	CMBC	16	61.5835450656
cell187_8K	CMBC	18	85.21790254099999
cell187_8K	CMBC	20	130.16830930499998
cell187_10K	PSI	10	49.1114780482
cell187_10K	PSI	12	78.9124501034
cell187_10K	PSI	14	133.4789844298
cell187_10K	PSI	16	196.38847691479998
cell187_10K	PSI	18	305.435476911
cell187_10K	PSI	20	516.9182679662
cell187_10K	CMBC	10	47.1163806956
cell187_10K	CMBC	12	66.1949470482
cell187_10K	CMBC	14	102.4271969098
cell187_10K	CMBC	16	141.13135411359997
cell187_10K	CMBC	18	221.36401876259998
cell187_10K	CMBC	20	362.43620121480006

